# Code: cgiSensitivity.c v2.1 (sll - 20 Sept 2002 Build)
# from WWW Sensitivity Curve Generator located at:
#   http://www.srl.caltech.edu/~shane/sensitivity/MakeCurve.html
# EQUAL ARM Space Based Observatory Sensitivity Curve
# Polarization and All Sky Averaged
# 
# For this data file:
# SNR = 1.000000 
# Armlength = 5.000000e+07 	meters
# Optics diameter = 3.000000 	meters
# Wavelength = 1064.000000 	nanometers
# Laser power = 100.000000 Watts
# Optical train efficiency = 0.300000 
# Accleration noise = 3.000000e-16 m/(s^2 root Hz)
# Position noise = 2.000000e-11 m/(root Hz)
# Sensitivity Floor Set by Laser Shot Noise
# Output Curve type is Laser Shot Noise
#
#
#
#f [Hz] 	hf [Hz^(-1/2)]
1.098946e+01	4.115654e-23
1.124337e+01	4.532705e-23
1.150315e+01	5.064478e-23
1.176892e+01	5.577218e-23
1.204084e+01	5.818312e-23
1.231905e+01	5.654061e-23
1.260368e+01	5.262764e-23
1.289488e+01	4.897175e-23
1.319282e+01	4.690967e-23
1.349764e+01	4.694121e-23
1.380950e+01	4.938417e-23
1.412856e+01	5.459737e-23
1.445501e+01	6.251041e-23
1.478898e+01	7.070858e-23
1.513069e+01	7.327021e-23
1.548028e+01	6.842784e-23
1.583796e+01	6.195032e-23
1.620389e+01	5.814855e-23
1.657828e+01	5.830653e-23
1.696131e+01	6.299361e-23
1.735320e+01	7.251079e-23
1.775415e+01	8.377423e-23
1.816436e+01	8.634640e-23
1.858404e+01	7.808220e-23
1.901342e+01	7.001446e-23
1.927040e+01	6.784920e-23
1.953085e+01	6.799572e-23
1.979482e+01	7.064629e-23
2.006235e+01	7.601872e-23
2.033351e+01	8.408691e-23
2.060833e+01	9.363697e-23
2.088686e+01	1.009075e-22
2.116915e+01	1.012556e-22
2.145527e+01	9.506583e-23
2.174524e+01	8.721850e-23
2.203914e+01	8.134225e-23
2.233701e+01	7.874825e-23
2.263891e+01	7.982370e-23
2.294488e+01	8.486244e-23
2.325499e+01	9.400789e-23
2.356930e+01	1.059014e-22
2.388785e+01	1.149761e-22
2.421070e+01	1.139492e-22
2.453793e+01	1.046765e-22
2.486957e+01	9.508205e-23
2.520569e+01	8.948930e-23
2.554636e+01	8.903273e-23
2.589163e+01	9.416391e-23
2.624157e+01	1.052229e-22
2.659624e+01	1.203652e-22
2.695570e+01	1.305839e-22
2.732002e+01	1.257904e-22
2.768926e+01	1.128067e-22
2.806350e+01	1.028038e-22
2.844279e+01	9.962990e-23
2.871554e+01	1.019896e-22
2.899090e+01	1.084361e-22
2.926891e+01	1.189469e-22
2.954958e+01	1.320399e-22
2.983294e+01	1.427189e-22
3.011902e+01	1.439997e-22
3.040785e+01	1.354012e-22
3.069945e+01	1.237363e-22
3.099383e+01	1.145764e-22
3.129104e+01	1.099616e-22
3.159110e+01	1.103943e-22
3.189405e+01	1.161739e-22
3.219989e+01	1.275082e-22
3.250867e+01	1.431135e-22
3.282040e+01	1.568438e-22
3.313513e+01	1.585471e-22
3.345288e+01	1.474379e-22
3.377367e+01	1.335091e-22
3.409754e+01	1.238537e-22
3.442452e+01	1.205511e-22
3.475463e+01	1.240804e-22
3.508791e+01	1.348081e-22
3.542438e+01	1.519788e-22
3.576408e+01	1.692277e-22
3.610703e+01	1.728143e-22
3.645328e+01	1.597261e-22
3.680285e+01	1.433129e-22
3.715576e+01	1.328661e-22
3.751206e+01	1.307275e-22
3.787178e+01	1.374570e-22
3.815347e+01	1.490633e-22
3.843726e+01	1.653335e-22
3.872317e+01	1.816353e-22
3.901120e+01	1.886079e-22
3.930136e+01	1.811056e-22
3.959369e+01	1.659249e-22
3.988820e+01	1.520698e-22
4.018489e+01	1.436296e-22
4.048379e+01	1.416131e-22
4.078490e+01	1.463180e-22
4.108828e+01	1.580129e-22
4.139389e+01	1.759331e-22
4.170179e+01	1.948309e-22
4.201197e+01	2.027171e-22
4.232446e+01	1.929441e-22
4.263927e+01	1.750153e-22
4.295643e+01	1.600387e-22
4.327594e+01	1.522693e-22
4.359783e+01	1.525712e-22
4.392212e+01	1.613149e-22
4.424882e+01	1.785768e-22
4.457794e+01	2.011458e-22
4.490952e+01	2.167270e-22
4.524356e+01	2.112878e-22
4.558009e+01	1.915475e-22
4.591912e+01	1.733229e-22
4.626067e+01	1.636031e-22
4.660476e+01	1.637659e-22
4.695142e+01	1.742590e-22
4.730064e+01	1.949193e-22
4.758811e+01	2.158241e-22
4.787732e+01	2.303880e-22
4.816829e+01	2.279579e-22
4.846103e+01	2.112659e-22
4.875554e+01	1.922887e-22
4.905185e+01	1.786356e-22
4.934996e+01	1.725844e-22
4.964987e+01	1.745806e-22
4.995162e+01	1.849316e-22
5.025519e+01	2.035464e-22
5.056062e+01	2.271854e-22
5.086789e+01	2.446736e-22
5.117704e+01	2.421976e-22
5.148805e+01	2.229547e-22
5.180097e+01	2.019733e-22
5.211578e+01	1.880191e-22
5.243251e+01	1.833560e-22
5.275116e+01	1.884151e-22
5.307176e+01	2.035195e-22
5.339429e+01	2.275250e-22
5.371879e+01	2.523554e-22
5.404526e+01	2.600691e-22
5.437372e+01	2.436260e-22
5.470416e+01	2.191283e-22
5.503662e+01	2.009326e-22
5.537110e+01	1.934078e-22
5.570761e+01	1.972702e-22
5.604617e+01	2.129344e-22
5.638678e+01	2.393406e-22
5.672946e+01	2.670571e-22
5.702096e+01	2.751275e-22
5.731395e+01	2.619592e-22
5.760846e+01	2.389082e-22
5.790447e+01	2.188219e-22
5.820200e+01	2.069991e-22
5.850106e+01	2.045780e-22
5.880167e+01	2.118503e-22
5.910381e+01	2.290394e-22
5.940750e+01	2.546296e-22
5.971276e+01	2.803724e-22
6.001959e+01	2.892801e-22
6.032799e+01	2.737998e-22
6.063798e+01	2.480548e-22
6.094955e+01	2.268695e-22
6.126274e+01	2.156775e-22
6.157752e+01	2.154729e-22
6.189394e+01	2.265988e-22
6.221197e+01	2.490717e-22
6.253164e+01	2.791193e-22
6.285294e+01	3.020300e-22
6.317590e+01	2.984254e-22
6.350053e+01	2.728967e-22
6.382681e+01	2.462168e-22
6.415477e+01	2.295554e-22
6.448442e+01	2.254179e-22
6.481578e+01	2.342505e-22
6.514882e+01	2.562769e-22
6.548357e+01	2.883558e-22
6.582006e+01	3.151590e-22
6.615826e+01	3.129851e-22
6.645274e+01	2.893813e-22
